highway_flow.425 | Accel=-8.837779467169074 | Severity=8.837779467169074 | Time=2575.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.436 | Accel=-8.206708742751218 | Severity=8.206708742751218 | Time=2653.0 | Lane=highway_1 | Reason=Emergency braking
ramp_flow.147 | Accel=-5.151417241002989 | Severity=5.151417241002989 | Time=2654.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.439 | Accel=-8.110814152039616 | Severity=8.110814152039616 | Time=2661.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.440 | Accel=-8.743739934575341 | Severity=8.743739934575341 | Time=2665.0 | Lane=highway_1 | Reason=Emergency braking
ramp_flow.148 | Accel=-7.41197023023758 | Severity=7.41197023023758 | Time=2671.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.441 | Accel=-5.726538132005583 | Severity=5.726538132005583 | Time=2672.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.441 | Accel=-4.5000000000000036 | Severity=4.5000000000000036 | Time=2673.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.441 | Accel=-4.500000000000013 | Severity=4.500000000000013 | Time=2674.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.456 | Accel=-9.0 | Severity=9.0 | Time=2763.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.456 | Accel=-6.24574295493583 | Severity=6.24574295493583 | Time=2764.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.462 | Accel=-9.0 | Severity=9.0 | Time=2796.0 | Lane=highway_0 | Reason=Emergency braking
ramp_flow.155 | Accel=-6.594115112138909 | Severity=6.594115112138909 | Time=2797.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.474 | Accel=-7.619631305793103 | Severity=7.619631305793103 | Time=2868.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.477 | Accel=-6.410501202889412 | Severity=6.410501202889412 | Time=2887.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.491 | Accel=-5.94129725279572 | Severity=5.94129725279572 | Time=2999.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.497 | Accel=-7.097948582934368 | Severity=7.097948582934368 | Time=3009.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.498 | Accel=-8.002698771008369 | Severity=8.002698771008369 | Time=3013.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.498 | Accel=-9.0 | Severity=9.0 | Time=3015.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.499 | Accel=-8.841282757149749 | Severity=8.841282757149749 | Time=3018.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.499 | Accel=-4.500000000000005 | Severity=4.500000000000005 | Time=3019.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.520 | Accel=-5.649605426508668 | Severity=5.649605426508668 | Time=3143.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.520 | Accel=-4.5000000000000036 | Severity=4.5000000000000036 | Time=3144.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.520 | Accel=-4.500000000000007 | Severity=4.500000000000007 | Time=3145.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.529 | Accel=-4.501 | Severity=4.501 | Time=3221.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.534 | Accel=-7.266407678247214 | Severity=7.266407678247214 | Time=3234.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.535 | Accel=-4.986147885238468 | Severity=4.986147885238468 | Time=3235.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.541 | Accel=-9.0 | Severity=9.0 | Time=3273.0 | Lane=highway_0 | Reason=Emergency braking
highway_flow.541 | Accel=-9.0 | Severity=9.0 | Time=3274.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.545 | Accel=-8.195170712666416 | Severity=8.195170712666416 | Time=3297.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.580 | Accel=-4.5009999999999994 | Severity=4.5009999999999994 | Time=3522.0 | Lane=highway_1 | Reason=Emergency braking
highway_flow.585 | Accel=-4.519013842470212 | Severity=4.519013842470212 | Time=3534.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.196 | Accel=-8.21487925909199 | Severity=8.21487925909199 | Time=3535.0 | Lane=ramp_0 | Reason=Emergency braking
highway_flow.585 | Accel=-9.0 | Severity=9.0 | Time=3536.0 | Lane=highway_2 | Reason=Emergency braking
highway_flow.594 | Accel=-5.970903452952587 | Severity=5.970903452952587 | Time=3589.0 | Lane=highway_2 | Reason=Emergency braking
ramp_flow.199 | Accel=-6.556173550221136 | Severity=6.556173550221136 | Time=3590.0 | Lane=ramp_0 | Reason=Emergency braking
